Analysis Methodology
Poster Analysis Parameters:
1. Color Features:
   - RGB and HSV histograms (32 bins per channel)
"   - LAB color space moments (mean, std, skewness)"
   - Color variation in different color spaces
""
2. Texture Features:
   - Sobel gradient analysis (edges and details)
"   - GLCM (contrast, dissimilarity, homogeneity, energy, correlation)"
   - Local Binary Patterns (local texture patterns)
""
3. Composition Features:
   - Rule of thirds analysis
   - Vertical and horizontal symmetry
   - Edge density (visual complexity)
""
4. Ranking Criteria:
   - Color variation (30%): Diversity of colors in RGB and HSV spaces
   - Visual appeal (20%): Brightness and saturation
   - Texture quality (25%): Contrast and homogeneity
   - Composition (15%): Edge density and visual complexity
   - Balance (10%): Vertical and horizontal symmetry
""
5. Additional Information:
   - midjourney_prompt: Original prompt used to generate the image
   - Rankings: All 172 images are ranked from 1 (highest score) to 172 (lowest score)
   - Score: Higher scores indicate better performance across all metrics
""
Data starts below:

file_path,filename,midjourney_prompt,color_variation_rgb,color_variation_hsv,brightness,saturation,texture_contrast,texture_homogeneity,edge_density,vertical_symmetry,horizontal_symmetry,score,rank
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png1.png","Capture basketball players engaging in pre-game rituals at the entrance of the maze, with each ritual illustrated in bright colors and symbolic, engaging visuals.png",1263.7707383725367,1398.324257519216,96.13586176658163,154.6493542729592,510.58301879114754,8.664998835353675,0.2032047193877551,126.45918367346938,126.86224489795919,0.47682421536414377,78
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense1.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense1.png","llustrate defensive maneuvers within the maze, with players in various defensive stances blocking paths. The background of sunny yellows and lime greens highlights their dynamic poses and the strategic aspect of basketball defense",2287.225151976371,1777.6887323619583,84.45992107780613,132.44925860969389,516.6414366196093,8.58197712666381,0.19614955357142858,125.72448979591837,124.95918367346938,0.4765188368606737,79
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant scene of a basketball team huddling together, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues capture the team’s unity and energy, with a dynamic court backdrop and playful details.png","A vibrant scene of a basketball team huddling together, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues capture the team’s unity and energy, with a dynamic court backdrop and playful details.png","A vibrant scene of a basketball team huddling together, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues capture the team’s unity and energy, with a dynamic court backdrop and playful details",1207.9511751998368,1746.5891641520434,142.95655293367346,135.0577766262755,436.25811455189444,7.6247714988871165,0.18287627551020408,126.23469387755102,126.70918367346938,0.4759712075596785,80
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement. The background includes play322.png","lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement. The background includes play322.png","lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement. The background includes play",1333.5878611225182,1220.1246521018525,99.85558832908163,141.77459343112244,573.3728103960927,8.51810049348603,0.21584024234693877,127.09693877551021,127.06122448979592,0.4739194435675457,81
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement.png","Media and press cover a high-profile basketball game within the maze, with cameras and microphones depicted in bright, flashy colors, adding a layer of realism and excitement",1601.773593811976,1601.2635050172098,77.0430683992347,146.3133171237245,517.3008753762479,8.794884629896377,0.20067362882653061,126.39285714285714,126.79081632653062,0.4732074788634733,82
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players.png","A lost basketball becomes the center of a maze mystery, with clues and colorful hints leading players",2639.734614186307,1948.0260307980143,64.73012994260205,123.60158242984694,408.5904377846076,8.67874437307223,0.1882374043367347,125.0204081632653,126.53571428571429,0.47101591153704925,83
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement. .png","lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement. .png","lively depiction of a basketball ball navigating through a colorful maze, rendered in bright, cheerful colors. Lime greens, sunny yellows, and sky blues emphasize the maze’s intricate paths and the ball’s movement.",1602.58835559853,1048.0960813939403,90.27469308035714,145.6086575255102,483.08486874248933,9.654854346331168,0.21354830994897958,126.59693877551021,126.94897959183673,0.4684422851964145,84
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos o.png","A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos o.png","A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos o",2594.344325483159,2103.3578709609387,103.19475446428571,120.66890545280613,403.7365616855728,7.168261156171756,0.14287707270408162,124.80102040816327,126.0765306122449,0.46791722534233926,85
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest32.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest32.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest",1662.3242325631502,3335.2721465671534,121.86302216198979,102.67940848214286,411.8906305567768,7.697348074386298,0.13347018494897958,126.20918367346938,125.65306122448979,0.46727485523848866,86
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright, engaging colors.png","A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright, engaging colors.png","A star basketball player navigates a fan-favorite section of the maze, where the walls are decorated with posters and graffiti celebrating his achievements, in bright, engaging colors",976.5884069896932,1345.456428131361,109.78977997448979,159.6224290497449,456.5802260442185,8.393313469034483,0.18989158163265307,126.95918367346938,127.07142857142857,0.46648983919488834,87
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette.png","Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette.png","Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette",2317.164264605914,2112.9358278234577,82.20567602040816,117.44333944515306,449.61401178448995,8.326088668503846,0.18305564413265307,124.66326530612245,126.24489795918367,0.46584386779066933,88
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game2.png","A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game2.png","A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game",2112.2618751392233,2749.7668007184416,95.39078443877551,109.68301578443878,420.382208211243,7.329093489548526,0.14431202168367346,127.0561224489796,126.66326530612245,0.46538008763674193,89
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Depict a basketball player making a significant comeback, moving through a challenging section of the maze with renewed energy and focus, surrounded by cheering spectral fans in sunny yellows and sky blues .png","Depict a basketball player making a significant comeback, moving through a challenging section of the maze with renewed energy and focus, surrounded by cheering spectral fans in sunny yellows and sky blues .png","Depict a basketball player making a significant comeback, moving through a challenging section of the maze with renewed energy and focus, surrounded by cheering spectral fans in sunny yellows and sky blues",2517.413532940771,1811.4205578771596,80.15246332908163,126.75548070790816,470.2184441347938,7.19458226403495,0.15662866709183673,125.0204081632653,126.89285714285714,0.4634599670215263,90
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path.png","ynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path.png","ynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path",1405.7885909694958,2138.7311853838323,127.2572943239796,111.71512276785714,454.57971179851097,8.238952853820408,0.19094786352040816,124.1938775510204,126.75,0.4634396836233843,91
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challenging.png","A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challenging.png","A player performing a slam dunk at the center of the maze, with walls adorned in bright, cheerful patterns. The explosive movement and the vibrant clash of colors emphasize the spectacle and the peak moment of basketball action within the challenging",1102.8033029511655,1624.054256842014,117.10925542091837,147.08695392219389,491.3822598258223,8.14866249175084,0.16418207908163265,127.0204081632653,126.91326530612245,0.46332151645887576,92
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path .png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path .png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path",2369.6302893770862,2287.7088520322395,92.41635443239795,120.73172433035714,361.6814178735608,7.589365821093577,0.1507294323979592,125.52551020408163,126.50510204081633,0.4622776576860937,93
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/321A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball .png","321A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball .png","321A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball",2238.9932912658164,2500.763362622168,106.30082110969387,110.85574776785714,385.6533169189248,7.4113624007654,0.14293686224489796,125.66836734693878,126.4234693877551,0.4617940492515669,94
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/32 creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. .png","32 creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. .png","32 creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze.",1842.2975635059609,2260.7847595838634,111.80243542729592,113.26098134566327,396.86957491518035,7.700291836477966,0.16181042729591838,125.47448979591837,127.0204081632653,0.45837343731634,95
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere.png","An imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere.png","An imaginative basketball scene where a player performs a jump shot upside down, defying gravity. The maze around him swirls in sky blues and lime greens, with the basketball glowing in sunny yellow, creating a surreal, dreamlike atmosphere",1503.8418578206065,1677.1668943986065,109.80213647959184,119.98030931122449,425.27505129055805,8.87998212837005,0.2200653698979592,127.34183673469387,126.43367346938776,0.4582176196137558,96
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball .png"," close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball .png"," close-up scene of a basketball player, both male and female, taking a challenging shot from a difficult angle within the maze. The bright colors of the ball",1174.8502741484408,1452.5839691735553,98.34295280612245,134.54211176658163,556.4554495449746,8.93134579380014,0.20075334821428573,126.68367346938776,127.14285714285714,0.4575790335469375,97
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette, with the basketball shining.png","Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette, with the basketball shining.png","Capture a basketball player in the midst of a sky-high jump shot, where it appears they are leaping over the maze itself. The vibrant maze walls of lime greens and sky blues contrast sharply against the player's silhouette, with the basketball shining",2029.8107516465666,1848.1049302821887,93.51787707270408,117.31253985969387,432.1005832969955,8.297237612145546,0.19704639668367346,126.27551020408163,126.35204081632654,0.4567080360292623,98
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious path",1444.3419709911732,1819.7505380774953,105.92368861607143,121.88101881377551,463.9424385052456,9.250209067367088,0.19614955357142858,126.27551020408163,126.48469387755102,0.4561105352933761,99
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/An innovative basketball scene where the maze appears inverted, with the player executing a jump shot from what seems like the ceiling. The maze walls, painted in lime greens and sky blues, and the glowing yellow basketball add a visually arresting.png","An innovative basketball scene where the maze appears inverted, with the player executing a jump shot from what seems like the ceiling. The maze walls, painted in lime greens and sky blues, and the glowing yellow basketball add a visually arresting.png","An innovative basketball scene where the maze appears inverted, with the player executing a jump shot from what seems like the ceiling. The maze walls, painted in lime greens and sky blues, and the glowing yellow basketball add a visually arresting",1591.850456230107,2386.0479703196806,110.34675940688776,114.74043367346938,367.64417539819493,7.36040626092567,0.18805803571428573,127.11734693877551,126.39795918367346,0.4533278474464866,100
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment2.png","A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment2.png","A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment",1574.4370422471645,1781.369282555791,114.72925302933673,109.24830596301021,612.4952713035609,7.88019267909899,0.1649593431122449,125.90306122448979,127.13265306122449,0.4532973643848487,101
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/32A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry. .png","32A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry. .png","32A scene where a basketball player's jump shot is mirrored in water on the maze floor, creating a dual image of perfect symmetry.",1745.2993057543645,2443.353322451203,137.50115593112244,107.93181999362245,299.13148548061935,7.00211986605098,0.1511280293367347,126.40816326530613,126.61734693877551,0.4508707790124594,102
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest432.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest432.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest",1834.0689963393781,3969.868086599352,115.0198899872449,104.96352838010205,317.09021725158664,5.766216423972219,0.08826929209183673,124.73979591836735,125.66836734693878,0.45041319066280905,103
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Incorporate elements of basketball lore and legend, with mystical symbols and icons along the walls of the maze, telling stories in vivid, engaging hues .png","Incorporate elements of basketball lore and legend, with mystical symbols and icons along the walls of the maze, telling stories in vivid, engaging hues .png","Incorporate elements of basketball lore and legend, with mystical symbols and icons along the walls of the maze, telling stories in vivid, engaging hues",1614.4219489237212,1811.4402304059975,83.40700733418367,147.1365593112245,388.59544385624054,7.4964131759548644,0.17645886479591838,125.2295918367347,126.60714285714286,0.4461573125023396,104
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest",3516.1770640616683,2185.7287876892074,101.13729671556122,115.84741709183673,301.83365674409515,5.261201213095785,0.10333625637755102,122.15306122448979,125.15306122448979,0.4459861675850332,105
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A vibrant scene of a basketball navigating through a colorful maze, with bright, cheerful colors--lime greens, sunny yellows, and sky blues highlighting the intricate design of the maze and the basketball’s dynamic path. .png","A vibrant scene of a basketball navigating through a colorful maze, with bright, cheerful colors--lime greens, sunny yellows, and sky blues highlighting the intricate design of the maze and the basketball’s dynamic path. .png","A vibrant scene of a basketball navigating through a colorful maze, with bright, cheerful colors--lime greens, sunny yellows, and sky blues highlighting the intricate design of the maze and the basketball’s dynamic path.",1410.8031917433889,1625.2204529950186,108.02044802295919,150.44513313137756,415.70891597082004,7.5308560922843,0.14040577168367346,126.81122448979592,126.68367346938776,0.4447591600597526,106
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This comp~ructured backdrop of sky blues and lime greens, illustrating the idea of repeated efforts and mirrored strategies in gameplay.png","Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This comp~ructured backdrop of sky blues and lime greens, illustrating the idea of repeated efforts and mirrored strategies in gameplay.png","Multiple basketballs mimic each other’s paths in echo-like patterns, creating layers of movement within the maze. This comp~ructured backdrop of sky blues and lime greens, illustrating the idea of repeated efforts and mirrored strategies in gameplay",1305.4646043969685,1637.8536195785832,121.87320631377551,143.60000797193877,400.63482160645844,6.9435601942835605,0.15192522321428573,126.34693877551021,126.74489795918367,0.4420996417065331,107
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical momen1 .png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical momen1 .png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical momen1",2058.006352233475,3220.5794153899287,126.84931042729592,95.69535235969387,253.3629425743163,6.609279936267846,0.10108418367346939,126.48469387755102,126.57142857142857,0.44133709651986924,108
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment.png","A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment.png","A poignant scene where a basketball player takes a timeout due to an injury, surrounded by concerned teammates, set against a backdrop of softer hues of blues and greens, reflecting a moment",1770.91049439735,1635.0554399367218,88.71671715561224,131.08565848214286,434.77615604110855,7.866782020609735,0.1561702806122449,126.49489795918367,127.56632653061224,0.44031215152454223,109
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/1 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game.png","1 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game.png","1 - A stoic basketball player guards a mystical hoop located at a strategic bend in the maze, with walls of sky blue and ground of lime green, symbolizing defense and vigilance in the basketball game",2237.6343767842563,2999.8970364275283,99.12848772321429,109.39477040816327,296.0546582139085,6.724421490765898,0.09899154974489796,126.5,126.61734693877551,0.4401438307525787,110
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/ creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png"," creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, .png"," creative basketball poster featuring a player standing triumphantly on top of the basketball hoop,",2798.1971055782806,2370.1659312517904,104.2076490752551,115.35353555484694,327.6483239205436,5.636710911322085,0.11399872448979592,123.78571428571429,125.54081632653062,0.4385310464047303,111
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos.png","A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos.png","A sequence depicting a perfect pass through a narrow alley of the maze. The basketball, glowing in sunny yellow, flies between basketball players dressed in lime greens and sky blues, highlighting teamwork and precision amidst the colorful chaos",2335.6723737502225,2123.1533299552343,101.70900430484694,118.50197305484694,422.76281056178243,6.8411040346818615,0.1211734693877551,125.07142857142857,125.80102040816327,0.4359538654197366,112
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing .png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing .png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing",1912.8840790805907,1701.853554461527,97.90009167729592,118.67791374362245,437.76582515229,7.9046649578475945,0.17030054209183673,124.39285714285714,126.68877551020408,0.43445751917619524,113
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/Showcase a series of basketballs in mid-air, creating an arc over the maze walls. Each ball represents a stage of flight, painted in vibrant yellows and blues, against a backdrop of dynamic shapes and patterns, symbolizing high aspirations.png","Showcase a series of basketballs in mid-air, creating an arc over the maze walls. Each ball represents a stage of flight, painted in vibrant yellows and blues, against a backdrop of dynamic shapes and patterns, symbolizing high aspirations.png","Showcase a series of basketballs in mid-air, creating an arc over the maze walls. Each ball represents a stage of flight, painted in vibrant yellows and blues, against a backdrop of dynamic shapes and patterns, symbolizing high aspirations",1394.0955550702638,2414.9993271220596,122.33854830994898,133.81798070790816,304.06391575173166,6.300025140535936,0.11316167091836735,124.89285714285714,126.90816326530613,0.43165105299730006,114
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical.png","A scene depicting a basketball player executing a perfect jump shot at a crucial junction within the maze. The maze's walls are adorned in lime greens and sky blues, with the basketball painted in a glowing sunny yellow, capturing the critical",1444.4750776666242,2538.351839777142,116.92448580994898,102.02762276785714,343.5061496855986,7.458382543036922,0.1602359693877551,127.34693877551021,127.01020408163265,0.43116069542516455,115
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious pa.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious pa.png","dynamic basketball poster showing the arc of a basketball as it flies toward the hoop, with the player leaping along its path. The maze’s walls are a lively canvas of lime greens and sky blues, with the sunny yellow ball tracing a victorious pa",2120.119115167825,2257.7108474809907,97.59243463010205,117.98947704081633,304.2063487348847,6.831623055461921,0.1400470344387755,125.73469387755102,126.61224489795919,0.4300815651040166,116
"/Users/tatiana/Downloads/Metaposters - Basketball Posters/originals/A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest 1.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest 1.png","A creative basketball poster featuring a player standing triumphantly on top of the basketball hoop, overlooking the maze. The walls radiate in lime greens and sky blues, with the sunny yellow basketball at the player’s feet, symbolizing conquest",1910.608748976793,2258.3942211964086,105.11316167091837,113.55606265943878,340.63871110888454,6.995534439975308,0.14777981505102042,125.50510204081633,126.60714285714286,0.42951996408062976,117
